Date,Province,CovidCase
2021-01-03,Kon Tum,0
2021-01-03,Lai Châu,0
2021-01-03,Lâm Đồng,0
2021-01-03,Lạng Sơn,0
2021-01-03,Lào Cai,0
2021-01-03,Long An,0
2021-01-03,Nam Định,0
2021-01-03,Nghệ An,0
2021-01-03,Ninh Bình,0
2021-01-03,Ninh Thuận,0
2021-01-03,Phú Thọ,0
2021-01-03,Phú Yên,7
2021-01-03,Quảng Bình,0
2021-01-03,Quảng Nam,0
2021-01-03,Quảng Ngãi,0
2021-01-03,Quảng Ninh,2
2021-01-03,Quảng Trị,0
2021-01-03,Sóc Trăng,0
2021-01-03,Sơn La,0
2021-01-03,Tây Ninh,0
2021-01-03,Thái Bình,0
2021-01-03,Thái Nguyên,0
2021-01-03,Thanh Hóa,0
2021-01-03,Thừa Thiên-Huế,0
2021-01-03,Tiền Giang,1
2021-01-03,Trà Vinh,0
2021-01-03,Tuyên Quang,0
2021-01-03,Vĩnh Long,0
2021-01-03,Vĩnh Phúc,0
2021-01-03,Yên Bái,0
2021-01-03,Chưa rõ ,0
2021-01-04,An Giang,0
2021-01-04,Bà Rịa - Vũng Tàu,1
2021-01-04,Bắc Giang,0
2021-01-04,Bắc Kạn,0
2021-01-04,Bạc Liêu,1
2021-01-04,Bắc Ninh,0
2021-01-04,Bến Tre,1
2021-01-04,Bình Định,0
2021-01-04,Bình Dương,0
2021-01-04,Bình Phước,0
2021-01-04,Bình Thuận,0
2021-01-04,Cà Mau,0
2021-01-04,Cần Thơ,0
2021-01-04,Cao Bằng,0
2021-01-04,Đà Nẵng,0
2021-01-04,Đắk Lắk,0
2021-01-04,Đắk Nông,0
2021-01-04,Điện Biên,0
2021-01-04,Đồng Nai,0
2021-01-04,Đồng Tháp,0
2021-01-04,Gia Lai,0
2021-01-04,Hà Giang,0
2021-01-04,Hà Nam,0
2021-01-04,TP. Hà Nội,7
2021-01-04,Hà Tĩnh,0
2021-01-04,Hải Dương,3
2021-01-04,Hải Phòng,0
2021-01-04,Hậu Giang,0
2021-01-04,TP. Hồ Chí Minh,1
2021-01-04,Hòa Bình,2
2021-01-04,Hưng Yên,2
2021-01-04,Khánh Hòa,0
2021-01-04,Kiên Giang,0
2021-01-04,Kon Tum,0
2021-01-04,Lai Châu,0
2021-01-04,Lâm Đồng,0
2021-01-04,Lạng Sơn,0
2021-01-04,Lào Cai,0
2021-01-04,Long An,0
2021-01-04,Nam Định,0
2021-01-04,Nghệ An,0
2021-01-04,Ninh Bình,0
2021-01-04,Ninh Thuận,0
2021-01-04,Phú Thọ,0
2021-01-04,Phú Yên,7
2021-01-04,Quảng Bình,0
2021-01-04,Quảng Nam,0
2021-01-04,Quảng Ngãi,0
2021-01-04,Quảng Ninh,2
2021-01-04,Quảng Trị,0
2021-01-04,Sóc Trăng,0
2021-01-04,Sơn La,0
2021-01-04,Tây Ninh,0
2021-01-04,Thái Bình,0
2021-01-04,Thái Nguyên,0
2021-01-04,Thanh Hóa,0
2021-01-04,Thừa Thiên-Huế,0
2021-01-04,Tiền Giang,1
2021-01-04,Trà Vinh,0
2021-01-04,Tuyên Quang,0
2021-01-04,Vĩnh Long,0
2021-01-04,Vĩnh Phúc,0
2021-01-04,Yên Bái,0
2021-01-04,Chưa rõ ,0
2021-01-05,An Giang,0
2021-01-05,Bà Rịa - Vũng Tàu,1
2021-01-05,Bắc Giang,0
2021-01-05,Bắc Kạn,0
2021-01-05,Bạc Liêu,1
2021-01-05,Bắc Ninh,0
2021-01-05,Bến Tre,1
2021-01-05,Bình Định,0
2021-01-05,Bình Dương,1
2021-01-05,Bình Phước,0
2021-01-05,Bình Thuận,0
2021-01-05,Cà Mau,0
2021-01-05,Cần Thơ,0
2021-01-05,Cao Bằng,0
2021-01-05,Đà Nẵng,0
2021-01-05,Đắk Lắk,0
2021-01-05,Đắk Nông,0
2021-01-05,Điện Biên,0
2021-01-05,Đồng Nai,0
2021-01-05,Đồng Tháp,0
2021-01-05,Gia Lai,0
2021-01-05,Hà Giang,0
2021-01-05,Hà Nam,0
2021-01-05,TP. Hà Nội,7
2021-01-05,Hà Tĩnh,0
2021-01-05,Hải Dương,3
2021-01-05,Hải Phòng,0
2021-01-05,Hậu Giang,0
2021-01-05,TP. Hồ Chí Minh,1
2021-01-05,Hòa Bình,2
2021-01-05,Hưng Yên,2
2021-01-05,Khánh Hòa,0
2021-01-05,Kiên Giang,0
2021-01-05,Kon Tum,0
2021-01-05,Lai Châu,0
2021-01-05,Lâm Đồng,0
2021-01-05,Lạng Sơn,0
2021-01-05,Lào Cai,0
2021-01-05,Long An,0
2021-01-05,Nam Định,0
2021-01-05,Nghệ An,0
2021-01-05,Ninh Bình,0
2021-01-05,Ninh Thuận,0
2021-01-05,Phú Thọ,0
2021-01-05,Phú Yên,7
2021-01-05,Quảng Bình,0
2021-01-05,Quảng Nam,0
2021-01-05,Quảng Ngãi,0
2021-01-05,Quảng Ninh,2
2021-01-05,Quảng Trị,0
2021-01-05,Sóc Trăng,0
2021-01-05,Sơn La,0
2021-01-05,Tây Ninh,0
2021-01-05,Thái Bình,0
2021-01-05,Thái Nguyên,0
2021-01-05,Thanh Hóa,0
2021-01-05,Thừa Thiên-Huế,0
2021-01-05,Tiền Giang,1
2021-01-05,Trà Vinh,0
2021-01-05,Tuyên Quang,0
2021-01-05,Vĩnh Long,0
2021-01-05,Vĩnh Phúc,0
2021-01-05,Yên Bái,0
2021-01-05,Chưa rõ ,0
2021-01-06,An Giang,0
2021-01-06,Bà Rịa - Vũng Tàu,1
2021-01-06,Bắc Giang,0
2021-01-06,Bắc Kạn,0
2021-01-06,Bạc Liêu,1
2021-01-06,Bắc Ninh,0
2021-01-06,Bến Tre,1
2021-01-06,Bình Định,0
2021-01-06,Bình Dương,1
2021-01-06,Bình Phước,0
2021-01-06,Bình Thuận,0
2021-01-06,Cà Mau,0
2021-01-06,Cần Thơ,0
2021-01-06,Cao Bằng,0
2021-01-06,Đà Nẵng,0
2021-01-06,Đắk Lắk,0
2021-01-06,Đắk Nông,0
2021-01-06,Điện Biên,0
2021-01-06,Đồng Nai,0
2021-01-06,Đồng Tháp,0
2021-01-06,Gia Lai,0
2021-01-06,Hà Giang,0
2021-01-06,Hà Nam,0
2021-01-06,TP. Hà Nội,7
2021-01-06,Hà Tĩnh,0
2021-01-06,Hải Dương,3
2021-01-06,Hải Phòng,0
2021-01-06,Hậu Giang,0
2021-01-06,TP. Hồ Chí Minh,1
2021-01-06,Hòa Bình,2
2021-01-06,Hưng Yên,2
2021-01-06,Khánh Hòa,0
2021-01-06,Kiên Giang,0
2021-01-06,Kon Tum,0
2021-01-06,Lai Châu,0
2021-01-06,Lâm Đồng,0
2021-01-06,Lạng Sơn,0
2021-01-06,Lào Cai,0
2021-01-06,Long An,0
2021-01-06,Nam Định,0
2021-01-06,Nghệ An,0
2021-01-06,Ninh Bình,0
2021-01-06,Ninh Thuận,0
2021-01-06,Phú Thọ,0
2021-01-06,Phú Yên,7
2021-01-06,Quảng Bình,0
2021-01-06,Quảng Nam,0
2021-01-06,Quảng Ngãi,0
2021-01-06,Quảng Ninh,2
2021-01-06,Quảng Trị,0
2021-01-06,Sóc Trăng,0
2021-01-06,Sơn La,0
2021-01-06,Tây Ninh,0
2021-01-06,Thái Bình,0
2021-01-06,Thái Nguyên,0
2021-01-06,Thanh Hóa,0
2021-01-06,Thừa Thiên-Huế,0
2021-01-06,Tiền Giang,1
2021-01-06,Trà Vinh,0
2021-01-06,Tuyên Quang,0
2021-01-06,Vĩnh Long,0
2021-01-06,Vĩnh Phúc,0
2021-01-06,Yên Bái,0
2021-01-06,Chưa rõ ,0
2021-01-07,An Giang,0
2021-01-07,Bà Rịa - Vũng Tàu,1
2021-01-07,Bắc Giang,0
2021-01-07,Bắc Kạn,0
2021-01-07,Bạc Liêu,1
2021-01-07,Bắc Ninh,0
2021-01-07,Bến Tre,1
2021-01-07,Bình Định,0
2021-01-07,Bình Dương,1
2021-01-07,Bình Phước,0
2021-01-07,Bình Thuận,0
2021-01-07,Cà Mau,0
2021-01-07,Cần Thơ,0
2021-01-07,Cao Bằng,0
2021-01-07,Đà Nẵng,0
2021-01-07,Đắk Lắk,0
2021-01-07,Đắk Nông,0
2021-01-07,Điện Biên,0
2021-01-07,Đồng Nai,0
2021-01-07,Đồng Tháp,0
2021-01-07,Gia Lai,0
2021-01-07,Hà Giang,0
2021-01-07,Hà Nam,0
2021-01-07,TP. Hà Nội,8
2021-01-07,Hà Tĩnh,0
2021-01-07,Hải Dương,3
2021-01-07,Hải Phòng,0
2021-01-07,Hậu Giang,0
2021-01-07,TP. Hồ Chí Minh,1
2021-01-07,Hòa Bình,2
2021-01-07,Hưng Yên,2
2021-01-07,Khánh Hòa,0
2021-01-07,Kiên Giang,0
2021-01-07,Kon Tum,0
2021-01-07,Lai Châu,0
2021-01-07,Lâm Đồng,0
2021-01-07,Lạng Sơn,0
2021-01-07,Lào Cai,0
2021-01-07,Long An,0
2021-01-07,Nam Định,0
2021-01-07,Nghệ An,0
2021-01-07,Ninh Bình,0
2021-01-07,Ninh Thuận,0
2021-01-07,Phú Thọ,0
2021-01-07,Phú Yên,11
2021-01-07,Quảng Bình,0
2021-01-07,Quảng Nam,0
2021-01-07,Quảng Ngãi,0
2021-01-07,Quảng Ninh,2
2021-01-07,Quảng Trị,0
2021-01-07,Sóc Trăng,0
2021-01-07,Sơn La,0
2021-01-07,Tây Ninh,0
2021-01-07,Thái Bình,0
2021-01-07,Thái Nguyên,0
2021-01-07,Thanh Hóa,0
2021-01-07,Thừa Thiên-Huế,0
2021-01-07,Tiền Giang,1
2021-01-07,Trà Vinh,1
2021-01-07,Tuyên Quang,0
2021-01-07,Vĩnh Long,0
2021-01-07,Vĩnh Phúc,0
2021-01-07,Yên Bái,0
2021-01-07,Chưa rõ ,0
2021-01-08,An Giang,0
2021-01-08,Bà Rịa - Vũng Tàu,1
2021-01-08,Bắc Giang,0
2021-01-08,Bắc Kạn,0
2021-01-08,Bạc Liêu,1
2021-01-08,Bắc Ninh,0
2021-01-08,Bến Tre,1
2021-01-08,Bình Định,0
2021-01-08,Bình Dương,1
2021-01-08,Bình Phước,0
2021-01-08,Bình Thuận,0
2021-01-08,Cà Mau,0
2021-01-08,Cần Thơ,0
2021-01-08,Cao Bằng,0
2021-01-08,Đà Nẵng,0
2021-01-08,Đắk Lắk,0
2021-01-08,Đắk Nông,0
2021-01-08,Điện Biên,0
2021-01-08,Đồng Nai,0
2021-01-08,Đồng Tháp,0
2021-01-08,Gia Lai,0
2021-01-08,Hà Giang,0
2021-01-08,Hà Nam,0
2021-01-08,TP. Hà Nội,9
2021-01-08,Hà Tĩnh,0
2021-01-08,Hải Dương,4
2021-01-08,Hải Phòng,0
2021-01-08,Hậu Giang,0
2021-01-08,TP. Hồ Chí Minh,1
2021-01-08,Hòa Bình,2
2021-01-08,Hưng Yên,2
2021-01-08,Khánh Hòa,0
2021-01-08,Kiên Giang,0
2021-01-08,Kon Tum,0
2021-01-08,Lai Châu,0
2021-01-08,Lâm Đồng,0
2021-01-08,Lạng Sơn,0
2021-01-08,Lào Cai,0
2021-01-08,Long An,0
2021-01-08,Nam Định,0
2021-01-08,Nghệ An,0
2021-01-08,Ninh Bình,0
2021-01-08,Ninh Thuận,0
2021-01-08,Phú Thọ,0
2021-01-08,Phú Yên,11
2021-01-08,Quảng Bình,0
2021-01-08,Quảng Nam,0
2021-01-08,Quảng Ngãi,0
2021-01-08,Quảng Ninh,2
2021-01-08,Quảng Trị,0
2021-01-08,Sóc Trăng,0
2021-01-08,Sơn La,0
2021-01-08,Tây Ninh,0
2021-01-08,Thái Bình,0
2021-01-08,Thái Nguyên,0
2021-01-08,Thanh Hóa,0
2021-01-08,Thừa Thiên-Huế,0
2021-01-08,Tiền Giang,1
2021-01-08,Trà Vinh,1
2021-01-08,Tuyên Quang,0
2021-01-08,Vĩnh Long,0
2021-01-08,Vĩnh Phúc,0
2021-01-08,Yên Bái,0
2021-01-08,Chưa rõ ,0
2021-01-09,An Giang,0
2021-01-09,Bà Rịa - Vũng Tàu,1
2021-01-09,Bắc Giang,0
2021-01-09,Bắc Kạn,0
2021-01-09,Bạc Liêu,1
2021-01-09,Bắc Ninh,0
2021-01-09,Bến Tre,1
2021-01-09,Bình Định,0
2021-01-09,Bình Dương,1
2021-01-09,Bình Phước,0
2021-01-09,Bình Thuận,0
2021-01-09,Cà Mau,0
2021-01-09,Cần Thơ,0
2021-01-09,Cao Bằng,0
2021-01-09,Đà Nẵng,0
2021-01-09,Đắk Lắk,0
2021-01-09,Đắk Nông,0
2021-01-09,Điện Biên,0
2021-01-09,Đồng Nai,0
2021-01-09,Đồng Tháp,0
2021-01-09,Gia Lai,0
2021-01-09,Hà Giang,0
2021-01-09,Hà Nam,0
2021-01-09,TP. Hà Nội,9
2021-01-09,Hà Tĩnh,0
2021-01-09,Hải Dương,4
2021-01-09,Hải Phòng,0
2021-01-09,Hậu Giang,0
2021-01-09,TP. Hồ Chí Minh,1
2021-01-09,Hòa Bình,2
2021-01-09,Hưng Yên,2
2021-01-09,Khánh Hòa,0
2021-01-09,Kiên Giang,0
2021-01-09,Kon Tum,0
2021-01-09,Lai Châu,0
2021-01-09,Lâm Đồng,0
2021-01-09,Lạng Sơn,0
2021-01-09,Lào Cai,0
2021-01-09,Long An,0
2021-01-09,Nam Định,0
2021-01-09,Nghệ An,0
2021-01-09,Ninh Bình,0
2021-01-09,Ninh Thuận,0
2021-01-09,Phú Thọ,0
2021-01-09,Phú Yên,11
2021-01-09,Quảng Bình,0
2021-01-09,Quảng Nam,0
2021-01-09,Quảng Ngãi,0
2021-01-09,Quảng Ninh,2
2021-01-09,Quảng Trị,0
2021-01-09,Sóc Trăng,0
2021-01-09,Sơn La,0
2021-01-09,Tây Ninh,0
2021-01-09,Thái Bình,0
2021-01-09,Thái Nguyên,0
2021-01-09,Thanh Hóa,1
2021-01-09,Thừa Thiên-Huế,0
2021-01-09,Tiền Giang,1
2021-01-09,Trà Vinh,1
2021-01-09,Tuyên Quang,0
2021-01-09,Vĩnh Long,0
2021-01-09,Vĩnh Phúc,0
2021-01-09,Yên Bái,0
2021-01-09,Chưa rõ ,0
2021-01-10,An Giang,0
2021-01-10,Bà Rịa - Vũng Tàu,1
2021-01-10,Bắc Giang,0
2021-01-10,Bắc Kạn,0
2021-01-10,Bạc Liêu,1
